energy_pos,l_z_pos,energy_neg,l_z_neg
-109842.79399828272,2750.8391449266064,-109842.79399828272,-2750.8391449266064
-109473.96130968728,2771.213765563552,-109473.96130968728,-2771.213765563552
-109108.61659597984,2791.5736775117275,-109108.61659597984,-2791.5736775117275
-108746.69711808147,2811.91913562866,-108746.69711808147,-2811.91913562866
-108388.14187117011,2832.2503828157633,-108388.14187117011,-2832.2503828157633
-108032.89152124054,2852.567650534563,-108032.89152124054,-2852.567650534563
-107680.8883444613,2872.871159301106,-107680.8883444613,-2872.871159301106
-107332.0761691885,2893.161119159477,-107332.0761691885,-2893.161119159477
-106986.40032050328,2913.437730135264,-106986.40032050328,-2913.437730135264
-106643.8075671479,2933.7011826698463,-106643.8075671479,-2933.7011826698463
-106304.24607074154,2953.9516580362865,-106304.24607074154,-2953.9516580362865
-105967.6653371639,2974.1893287376306,-105967.6653371639,-2974.1893287376306
-105634.01617000034,2994.4143588883235,-105634.01617000034,-2994.4143588883235
-105303.25062594858,3014.6269045794897,-105303.25062594858,-3014.6269045794897
-104975.3219720915,3034.8271142287354,-104975.3219720915,-3034.8271142287354
-104650.18464494673,3055.0151289151518,-104650.18464494673,-3055.0151289151518
-104327.79421120766,3075.191082700126,-104327.79421120766,-3075.191082700126
-104008.10733009546,3095.3551029345836,-104008.10733009546,-3095.3551029345836
-103691.08171724576,3115.507310553223,-103691.08171724576,-3115.507310553223
-103376.67611005776,3135.647820356309,-103376.67611005776,-3135.647820356309
-103064.85023443733,3155.776741279546,-103064.85023443733,-3155.776741279546
-102755.56477286923,3175.8941766525413,-102755.56477286923,-3175.8941766525413
-102448.78133375665,3196.000224446346,-102448.78133375665,-3196.000224446346
-102144.46242197022,3216.094977510536,-102144.46242197022,-3216.094977510536
-101842.57141055044,3236.1785238002894,-101842.57141055044,-3236.1785238002894
-101543.07251351186,3256.2509465938533,-101543.07251351186,-3256.2509465938533
-101245.9307596983,3276.312324700867,-101245.9307596983,-3276.312324700867
-100951.11196764238,3296.362732661863,-100951.11196764238,-3296.362732661863
-100658.58272138437,3316.4022409393774,-100658.58272138437,-3316.4022409393774
-100368.31034720723,3336.430916100994,-100368.31034720723,-3336.430916100994
-100080.26289124794,3356.4488209946735,-100080.26289124794,-3356.4488209946735
-99794.40909794618,3376.456014916697,-99794.40909794618,-3376.456014916697
-99510.71838929366,3396.452553772536,-99510.71838929366,-3396.452553772536
-99229.16084484987,3416.4384902309494,-99229.16084484987,-3416.4384902309494
-98949.70718249012,3436.413873871594,-98949.70718249012,-3436.413873871594
-98672.32873985563,3456.37875132642,-98672.32873985563,-3456.37875132642
-98396.99745647456,3476.3331664151115,-98396.99745647456,-3476.3331664151115
-98123.68585652614,3496.277160274841,-98123.68585652614,-3496.277160274841
-97852.36703222038,3516.210771484559,-97852.36703222038,-3516.210771484559
-97583.01462776792,3536.1340361840466,-97583.01462776792,-3536.1340361840466
-97315.60282391483,3556.0469881879794,-97315.60282391483,-3556.0469881879794
-97050.10632301932,3575.949659095173,-97050.10632301932,-3575.949659095173
-96786.50033464783,3595.842078393247,-96786.50033464783,-3595.842078393247
-96524.76056166927,3615.7242735588825,-96524.76056166927,-3615.7242735588825
-96264.86318682677,3635.596270153859,-96264.86318682677,-3635.596270153859
-96006.78485976836,3655.458091917043,-96006.78485976836,-3655.458091917043
-95750.50268451673,3675.3097608525245,-95750.50268451673,-3675.3097608525245
-95495.99420736197,3695.1512973140207,-95495.99420736197,-3695.1512973140207
-95243.23740515937,3714.982720085733,-95243.23740515937,-3714.982720085733
-94992.21067401647,3734.804046459799,-94992.21067401647,-3734.804046459799
-94742.89281835439,3754.6152923104714,-94742.89281835439,-3754.6152923104714
-94495.26304032824,3774.416472165176,-94495.26304032824,-3774.416472165176
-94249.30092959286,3794.207599272561,-94249.30092959286,-3794.207599272561
-94004.9864534006,3813.988685667675,-94004.9864534006,-3813.988685667675
-93762.29994701821,3833.7597422343924,-93762.29994701821,-3833.7597422343924
-93521.22210445062,3853.52077876519,-93521.22210445062,-3853.52077876519
-93281.7339694599,3873.271804018393,-93281.7339694599,-3873.271804018393
-93043.81692686837,3893.0128257730057,-93043.81692686837,-3893.0128257730057
-92807.45269413503,3912.7438508811856,-92807.45269413503,-3912.7438508811856
-92572.62331319496,3932.4648853185145,-92572.62331319496,-3932.4648853185145
-92339.31114255225,3952.1759342321225,-92339.31114255225,-3952.1759342321225
-92107.49884961659,3971.87700198675,-92107.49884961659,-3971.87700198675
-91877.1694032751,3991.5680922088536,-91877.1694032751,-3991.5680922088536
-91648.3060666902,4011.2492078288183,-91648.3060666902,-4011.2492078288183
-91420.89239031592,4030.9203511213705,-91420.89239031592,-4030.9203511213705
-91194.912205124,4050.5815237442484,-91194.912205124,-4050.5815237442484
-90970.34961603292,4070.232726775211,-90970.34961603292,-4070.232726775211
-90747.18899553233,4089.873960747451,-90747.18899553233,-4089.873960747451
-90525.4149774957,4109.505225683479,-90525.4149774957,-4109.505225683479
-90305.01245117477,4129.1265211275395,-90305.01245117477,-4129.1265211275395
-90085.96655536952,4148.737846176628,-90085.96655536952,-4148.737846176628
-89868.26267276717,4168.339199510139,-89868.26267276717,-4168.339199510139
-89651.88642444443,4187.930579418235,-89651.88642444443,-4187.930579418235
-89436.82366452781,4207.511983828971,-89436.82366452781,-4207.511983828971
-89223.06047500549,4227.083410334226,-89223.06047500549,-4227.083410334226
-89010.58316068695,4246.644856214486,-89010.58316068695,-4246.644856214486
-88799.37824430403,4266.196318462544,-88799.37824430403,-4266.196318462544
-88589.43246174938,4285.737793806131,-88589.43246174938,-4285.737793806131
-88380.7327574477,4305.269278729559,-88380.7327574477,-4305.269278729559
-88173.26627985456,4324.790769494381,-88173.26627985456,-4324.790769494381
-87967.02037707974,4344.30226215912,-87967.02037707974,-4344.30226215912
-87761.9825926298,4363.8037525981235,-87761.9825926298,-4363.8037525981235
-87558.14066126668,4383.295236519556,-87558.14066126668,-4383.295236519556
-87355.48250497821,4402.77670948256,-87355.48250497821,-4402.77670948256
-87153.99622905719,4422.24816691365,-87153.99622905719,-4422.24816691365
-86953.67011828492,4441.709604122339,-86953.67011828492,-4441.709604122339
-86754.49263321645,4461.161016316051,-86754.49263321645,-4461.161016316051
-86556.45240656396,4480.602398614335,-86556.45240656396,-4480.602398614335
-86359.53823967527,4500.033746062393,-86359.53823967527,-4500.033746062393
-86163.73909910413,4519.455053644021,-86163.73909910413,-4519.455053644021
-85969.04411326998,4538.866316293879,-85969.04411326998,-4538.866316293879
-85775.44256920365,4558.267528909211,-85775.44256920365,-4558.267528909211
-85582.92390937709,4577.658686360985,-85582.92390937709,-4577.658686360985
-85391.47772861391,4597.039783504489,-85391.47772861391,-4597.039783504489
-85201.09377107835,4616.410815189436,-85201.09377107835,-4616.410815189436
-85011.76192734051,4635.771776269525,-85011.76192734051,-4635.771776269525
-84823.47223151533,4655.122661611566,-84823.47223151533,-4655.122661611566
-84636.21485847294,4674.46346610413,-84636.21485847294,-4674.46346610413
